episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
315,19.82046246251142,163.59075074977162,20,3,3,high_risk_first,auth,medium
316,-11.840694135680456,196.81388271360913,20,0,3,high_risk_first,auth,medium
317,-12.076800497857212,201.53600995714422,20,0,3,high_risk_first,profile,small
318,-14.185883760307638,243.7176752061528,20,0,3,high_risk_first,profile,small
319,-33.83583797542032,236.71675950840643,20,0,3,high_risk_first,auth,small
320,-12.2812858232927,205.62571646585403,20,0,3,high_risk_first,checkout,medium
321,-12.463351097864233,209.26702195728464,20,0,3,high_risk_first,notifications,small
322,-3.4925057622865787,229.85011524573162,20,1,3,high_risk_first,profile,medium
323,-10.916875215649256,178.33750431298515,20,0,3,high_risk_first,profile,medium
324,-9.04461376686396,140.89227533727924,20,0,3,high_risk_first,profile,large
325,-13.486045771790174,229.72091543580342,20,0,3,high_risk_first,checkout,large
326,20.07170925748279,158.56581485034422,20,3,3,high_risk_first,search,medium
327,16.297231945110163,234.05536109779678,20,3,3,high_risk_first,payments,small
328,-9.650146782667766,153.0029356533553,20,0,3,high_risk_first,search,small
329,-10.609145152855756,172.18290305711508,20,0,3,high_risk_first,profile,small
330,16.975268052758928,220.49463894482147,20,3,3,high_risk_first,payments,large
331,-33.53306018189506,230.66120363790122,20,0,3,high_risk_first,notifications,small
332,-13.33724282060108,226.74485641202156,20,0,3,high_risk_first,auth,medium
333,-14.106065624640305,242.12131249280606,20,0,3,high_risk_first,profile,large
334,-12.383110112167726,207.66220224335456,20,0,3,high_risk_first,payments,small
335,-11.177689312260771,183.5537862452154,20,0,3,high_risk_first,payments,large
336,-8.094959656916549,121.89919313833097,20,0,3,high_risk_first,search,medium
337,-14.005357408355167,240.1071481671034,20,0,3,high_risk_first,payments,medium
338,-4.810430566137114,256.20861132274223,20,1,3,high_risk_first,profile,medium
339,-16.644985842789765,292.89971685579525,20,0,3,high_risk_first,notifications,medium
340,-15.378345564532788,267.56691129065575,20,0,3,high_risk_first,payments,small
341,-11.152098628807824,183.04197257615644,20,0,3,high_risk_first,auth,small
342,-10.032573439270397,160.65146878540787,20,0,3,high_risk_first,search,large
343,19.27138460368217,174.57230792635664,20,3,3,high_risk_first,search,small
344,-10.29457993021929,165.89159860438582,20,0,3,high_risk_first,auth,small
345,11.547398382374759,129.05203235250485,20,2,3,high_risk_first,search,small
346,-1.1958377166545928,183.91675433309183,20,1,3,high_risk_first,profile,medium
347,59.8379368795896,163.2412624082082,20,7,3,high_risk_first,checkout,large
348,-9.18631463491802,143.72629269836037,20,0,3,high_risk_first,profile,medium
349,-33.533145625127716,230.6629125025543,20,0,3,high_risk_first,auth,small
350,6.76138566359697,224.77228672806064,20,2,3,high_risk_first,payments,small
351,-10.561078301838345,171.22156603676686,20,0,3,high_risk_first,search,small
352,9.765268903980745,164.69462192038506,20,2,3,high_risk_first,profile,medium
353,38.54611540574224,189.07769188515525,20,5,3,high_risk_first,auth,small
354,37.996403936081954,200.07192127836086,20,5,3,high_risk_first,checkout,medium
355,-14.073409656433183,241.4681931286637,20,0,3,high_risk_first,profile,large
356,-14.219151388491778,244.3830277698355,20,0,3,high_risk_first,payments,large
357,-34.28209712936961,245.64194258739215,20,0,3,high_risk_first,notifications,small
358,-7.720156707785175,114.4031341557035,20,0,3,high_risk_first,profile,small
359,3.0175498231602886,303.6490035367942,18,3,3,high_risk_first,payments,medium
360,-12.100543200716066,202.0108640143213,20,0,3,high_risk_first,checkout,medium
361,-2.8819311522060653,217.63862304412132,20,1,3,high_risk_first,profile,medium
362,-9.067126155394421,141.34252310788838,20,0,3,high_risk_first,search,small
363,-12.0880046051774,201.76009210354798,20,0,3,high_risk_first,payments,medium
364,-30.581333070028037,171.6266614005607,20,0,3,high_risk_first,notifications,large
365,14.13203758025979,277.3592483948042,20,3,3,high_risk_first,payments,small
366,-9.628686744391239,152.57373488782474,20,0,3,high_risk_first,search,small
367,-14.967399823996073,259.3479964799215,20,0,3,high_risk_first,payments,small
368,-36.547578500086786,290.9515700017358,20,0,3,high_risk_first,notifications,small
